Character,Sprite Description,Prompt
Pens - idle,"Penguin standing still in relaxed pose, front-facing. Short round black and white body with maroon crest on head. Holding a diet soda can in one flipper. Deadpan neutral expression. Body faces the viewer.","Pixel art penguin character, front-facing view, short round black and white body, small flipper-wings, maroon crest on top of head, holding a diet soda can in one flipper, deadpan neutral expression, idle standing pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - talking,"Same penguin but with mouth slightly open mid-speech. Front-facing. Short round black and white body with maroon crest. Still holding diet soda. Subtle lean forward.","Pixel art penguin character, front-facing view, short round black and white body, maroon crest on top of head, holding diet soda can in one flipper, mouth slightly open talking, subtle lean forward, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - sipping,"Penguin tilting diet soda can up to beak to drink. Front-facing. Short round black and white body with maroon crest. Head tilted back slightly. Flipper raised with can near mouth.","Pixel art penguin character, front-facing view, short round black and white body, maroon crest on top of head, tilting head back sipping from a diet soda can held up to beak, eyes closed contentedly, relaxed drinking pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - reaction_surprise,"Penguin with wide eyes and tiny jump of surprise. Front-facing. Short round black and white body with maroon crest. Diet soda still in flipper. Startled body language.","Pixel art penguin character, front-facing view, short round black and white body, maroon crest on top of head, holding diet soda, wide surprised eyes, slight jump pose with feet off ground, startled shocked expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - reaction_deadpan,"Penguin with completely flat unimpressed expression. Front-facing. Short round black and white body with maroon crest. Half-lidded eyes. Diet soda in flipper. Perfectly still and unbothered.","Pixel art penguin character, front-facing view, short round black and white body, maroon crest on top of head, holding diet soda, half-lidded unimpressed eyes, completely deadpan flat expression, standing perfectly still, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - walking,"Penguin mid-waddle walk cycle. Front-facing but body angled slightly to show walking direction. Short round black and white body with maroon crest. One foot forward. Diet soda in flipper.","Pixel art penguin character, front-facing view angled slightly to show walking motion, short round black and white body, maroon crest on top of head, holding diet soda, mid-walk waddle pose with one foot forward, slight body bob, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - idle,"Large round grey seal standing upright in relaxed business pose, front-facing. Wearing a small necktie. Black top hat on head. Whiskers visible. Briefcase at side.","Pixel art grey seal character, front-facing view, large round blob-like plump body, wearing small necktie, black top hat on head, visible whiskers, briefcase at side, friendly relaxed business pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - talking,"Same seal but with mouth open mid-speech. Front-facing. One flipper slightly raised as if making a pitch. Top hat and tie visible.","Pixel art grey seal character, front-facing view, large round plump body, black top hat, small necktie, visible whiskers, mouth open talking, one flipper raised making a business point, animated pitch pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - calculating,"Seal with one flipper on chin in thinking pose. Front-facing. Eyes looking upward. Top hat and tie.","Pixel art grey seal character, front-facing view, large round plump body, black top hat, small necktie, whiskers, one flipper on chin in deep thought, eyes looking upward calculating, thoughtful business pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - excited,"Seal bouncing with enthusiasm. Front-facing. Both flippers raised. Wide happy smile. Top hat slightly askew from excitement.","Pixel art grey seal character, front-facing view, large round plump body, black top hat tilted askew from excitement, small necktie, both flippers raised up high, wide happy beaming smile, bouncing excited pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - reaction_nervous,"Seal sweating nervously. Front-facing. Sweat drops visible. Forced smile. Flippers fidgeting. Top hat and tie.","Pixel art grey seal character, front-facing view, large round plump body, black top hat, small necktie, nervous sweating expression, forced uneasy smile, visible sweat drops, flippers fidgeting close to body, colorful detailed pixel art style, transparent background, single character, full body visible"
Chubs - walking,"Seal waddling forward mid-step. Front-facing but angled slightly to show walking. Briefcase in one flipper. Top hat and tie.","Pixel art grey seal character, front-facing view angled slightly to show walking motion, large round plump body, black top hat, small necktie, carrying briefcase in one flipper, mid-waddle walk pose, slight body wobble, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - idle,"Sleek upright cat standing in refined dignified pose, front-facing. Wearing a monocle over one eye. Tall posture. Paws at sides elegantly.","Pixel art cat character, front-facing view, sleek upright tall standing posture, wearing a monocle over one eye, dignified refined idle pose, paws at sides elegantly, slim and graceful body, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - talking,"Same cat but with mouth open speaking. Front-facing. One paw raised in a diplomatic gesture. Monocle visible. Formal posture.","Pixel art cat character, front-facing view, sleek upright tall posture, monocle over one eye, mouth open speaking formally, one paw raised in diplomatic gesture, refined talking pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - refined_pose,"Cat in an extra dignified aristocratic stance. Front-facing. Chin up. One paw behind back. The picture of composure and class.","Pixel art cat character, front-facing view, sleek upright tall posture, monocle over one eye, extra dignified aristocratic stance, chin raised proudly, one paw behind back, supreme composure, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - reaction_appalled,"Cat recoiling in horror and disgust. Front-facing. Monocle popping off slightly. Both paws up. Expression of utter shock.","Pixel art cat character, front-facing view, sleek body recoiling backward in shock, monocle popping off, both paws raised in horror, appalled disgusted wide-eyed expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - reaction_pleased,"Cat with a subtle satisfied closed-mouth smile. Front-facing. Eyes gently closed. Paws together. Monocle in place. Content and approving.","Pixel art cat character, front-facing view, sleek upright tall posture, monocle in place, subtle satisfied closed-mouth smile, eyes gently closed contentedly, paws together, pleased approving expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Meows - walking,"Cat striding gracefully forward. Front-facing but angled slightly to show walking. Monocle in place. Elegant measured steps. Tail up.","Pixel art cat character, front-facing view angled slightly to show walking motion, sleek body mid-stride walking gracefully, monocle, elegant measured steps, tail up, dignified walking posture, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - idle,"Medium-round pig standing in friendly relaxed pose, front-facing. Wearing a diner apron over a blue tie. Holding a plate in one hoof. Warm approachable expression.","Pixel art pig character, front-facing view, medium round friendly body, wearing a diner apron over blue necktie, holding a plate in one hoof, warm friendly approachable smile, relaxed idle pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - talking,"Same pig but mouth open mid-speech. Front-facing. Free hoof gesturing while talking. Apron and blue tie visible.","Pixel art pig character, front-facing view, medium round body, diner apron over blue tie, mouth open talking, one hoof gesturing while speaking, holding plate in other hoof, friendly expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - serving,"Pig carrying a plate of food at shoulder height. Front-facing. Apron and blue tie. Focused helpful expression. Professional waiter pose.","Pixel art pig character, front-facing view, medium round body, diner apron over blue tie, carrying plate of food held up at shoulder height, focused helpful serving expression, professional waiter pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - wiping_counter,"Pig bent slightly forward wiping with a towel. Front-facing. Apron and blue tie. Working hard expression. One hoof scrubbing.","Pixel art pig character, front-facing view, medium round body, diner apron over blue tie, bent slightly forward wiping with towel in one hoof, hardworking cleaning pose, tired but dedicated expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - reaction_exasperated,"Pig with eyes closed and one hoof on forehead in a facepalm. Front-facing. Apron and blue tie. Long-suffering exhausted sigh expression.","Pixel art pig character, front-facing view, medium round body, diner apron over blue tie, eyes closed, one hoof on forehead in facepalm, exasperated exhausted long-suffering sigh expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Oinks - walking,"Pig walking forward with a slight bounce. Front-facing but angled slightly. Apron and blue tie. Towel over one arm.","Pixel art pig character, front-facing view angled slightly to show walking motion, medium round body, diner apron over blue tie, mid-walk pose with slight bounce, towel draped over one arm, colorful detailed pixel art style, transparent background, single character, full body visible"
Quacks - idle,"Very small compact call duck standing in alert watchful pose, front-facing. Holding a tiny magnifying glass. Suspicious squinting expression. Smallest character.","Pixel art call duck character, front-facing view, very small compact round body, holding tiny magnifying glass, suspicious squinting watchful expression, alert idle pose, smallest character of the group, colorful detailed pixel art style, transparent background, single character, full body visible"
